title,posterURL,planArea,planAddr,planLat,planLon,planCounty
외계+인 2부,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/185/JNFC_185.jpg,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
"이재, 곧 죽습니다 (TVING)",https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/184/JNFC_184.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
노량: 죽음의 바다,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/177/JNFC_177.jpg,순천왜성,전남 순천시 해룡면 신성리 산 1,34.907262893499,127.581156322184,순천시
스위트홈 시즌2 (넷플릭스),https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/181/JNFC_181.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
그림자 고백,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/206/JNFC_206.jpg,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
서울의 봄,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/172/JNFC_172.jpg,스타인벡코리아,전남 광양시 중동 1816-1,34.92284920627,127.690756965724,광양시
독전 2,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/f087cb2b.jpg,여수 (폐) 우리수산,전남 여수시 국동 37-91,34.7288118983385,127.722063422282,여수시
더 와일드 : 야수들의 전쟁,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/87757844.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
혼례대첩,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/194/JNFC_194.JPG,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
악인전기 (ENA),https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/182/JNFC_182.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
1947 보스톤,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/e101a1e3.jpg,(구) 목포공립심상소학교 (유달초등학교),전남 목포시 중동2가 7-4,34.7862745861124,126.379375330126,목포시
